"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","ZBED2","5.955","27.230","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","SOCS3","3.414","23.469","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","SOCS3","3.898","22.039","True"
"Intestinal Epithelial","","","GSE120904","RNASeq","","GZMB","2.922","17.517","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","IFNG","2.835","16.025","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","FES","3.489","15.955","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","SBNO2","2.198","15.111","True"
"Purified Peripheral Blood","4h","","GSE129093","RNASeq","","PRF1","1.981","14.704","False"
"B","","","GSE111475","MicroArray","GPL10558","GZMB","10.704","14.490","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","IL2RA","3.105","14.199","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","RSAD2","2.013","13.838","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","SLC27A2","2.432","13.752","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","IFNG","1.925","13.235","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","IL2RB","2.958","13.136","False"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","AICDA","2.852","13.044","True"
"Intestinal Epithelial","","","GSE120904","RNASeq","","PRF1","2.158","12.939","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","PIM2","1.852","12.729","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","IL2RA","2.756","12.241","False"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","BATF","2.094","11.840","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","SBNO2","2.057","11.629","True"
"Purified Peripheral Blood","4h","","GSE129093","RNASeq","","SNORD114-3","1.545","11.470","False"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","BCL3","1.651","11.349","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","MIAT","1.989","11.243","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","CDK5R1","2.465","10.946","False"
"Sez4","","","GSE8685","MicroArray","HG-U133_Plus_2","AIM2","1.820","10.909","False"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","CCL17","-2.451","-10.887","False"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","ZNRF1","1.908","10.786","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","PFKFB3","2.346","10.728","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","IFIT1","-2.307","-10.550","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","HIF1A","2.273","10.396","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","CCL4","-2.256","-10.318","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","PIM1","1.472","10.119","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","PIM2","1.790","10.118","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","BCL6","2.206","10.089","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","GZMB","1.460","10.039","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","TMPRSS6","2.250","9.993","False"
"Sez4","","","GSE8685","MicroArray","HG-U133_Plus_2","IL5","1.667","9.990","False"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","SLC2A5","2.248","9.985","False"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","SOCS3","2.178","9.961","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","IFIT3","-2.146","-9.813","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","PRF1","1.723","9.740","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","ZNRF1","1.411","9.697","True"
"Purified Peripheral Blood","4h","","GSE129093","RNASeq","","SNORD15B","-1.301","-9.656","False"
"B","","","GSE111475","MicroArray","GPL10558","TUBB3","7.057","9.553","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","FES","1.678","9.487","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","PPP1R3B","1.673","9.456","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","KISS1R","2.065","9.444","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","BATF","2.098","9.316","False"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","SLC27A2","1.351","9.287","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","GZMB","1.637","9.256","True"
"Sez4","","","GSE8685","MicroArray","HG-U133_Plus_2","COL15A1","1.543","9.250","False"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","MIAT","1.340","9.211","True"
"Purified Peripheral Blood","4h","","GSE129093","RNASeq","","GZMB","1.233","9.153","False"
"B","","","GSE111475","MicroArray","GPL10558","IL32","6.760","9.152","True"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","STOM","1.329","9.136","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","STOM","1.614","9.123","True"
"Naive Nk","30m","20ng/mL","GSE129044","RNASeq","","PLSCR1","1.610","9.102","True"
"Cll","","","GSE79660","MicroArray","HG-U133_Plus_2","THEMIS2","1.986","9.081","True"
"Sez4","","","GSE8685","MicroArray","HG-U133_Plus_2","SLC12A8","1.513","9.071","False"
"Expanded Nk","30m","20ng/mL","GSE129044","RNASeq","","RAB38","1.308","8.994","True"
"Intestinal Epithelial","","","GSE120904","RNASeq","","BATF","1.495","8.961","True"
"Cd40-Activated Cll","","","GSE42158","MicroArray","GPL6104","FES","2.016","8.954","False"
